
id_items,name,description,category,tags,metadata,created_at,updated_at
1,"Mamadeiras","Mamadeira de vidro para recém-nascidos","Alimentação","['vidro','segurança','recém-nascido']",{'marca':'Avent','volume':240,'BPA_Free':True},2024-09-04,2024-09-04
2,"Chupetas","Chupeta ortodôntica para bebês","Acessórios","['ortodôntica','silicone','0-6 meses']",{'marca':'MAM','BPA_Free':True},2024-09-04,2024-09-04
3,"Fraldas descartáveis","Fralda descartável tamanho RN","Higiene","['descartável','recém-nascido','absorção']",{'marca':'Pampers','tamanho':'RN','quantidade':36},2024-09-04,2024-09-04
4,"Fraldas de pano","Fralda de pano reutilizável","Higiene","['reutilizável','ecológica','algodão']",{'marca':'EcoBaby','tamanho':'Único'},2024-09-04,2024-09-04
5,"Lenços umedecidos","Lenços umedecidos para pele sensível","Higiene","['sensível','hipoalergênico','sem perfume']",{'marca':'Huggies','quantidade':96},2024-09-04,2024-09-04
6,"Toalhas de banho","Toalha de banho com capuz","Banho","['macia','algodão','absorvente']",{'marca':'BabyJoy','material':'algodão'},2024-09-04,2024-09-04
7,"Roupas de recém-nascido","Conjunto de roupas para recém-nascidos","Vestuário","['confortável','algodão','respirável']",{'marca':'BabyGap','tamanho':'RN'},2024-09-04,2024-09-04
8,"Body de manga longa","Body de manga longa para bebês","Vestuário","['algodão','confortável','RN-12 meses']",{'marca':'Carter's','tamanho':'6 meses'},2024-09-04,2024-09-04
9,"Body de manga curta","Body de manga curta para bebês","Vestuário","['confortável','respirável','verão']",{'marca':'H&M','tamanho':'3 meses'},2024-09-04,2024-09-04
10,"Calças com pé","Calça com pé em algodão para bebês","Vestuário","['algodão','confortável','térmico']",{'marca':'BabyCotton','tamanho':'6 meses'},2024-09-04,2024-09-04
11,"Macacão","Macacão de malha para bebês","Vestuário","['algodão','confortável','térmico']",{'marca':'TipTop','tamanho':'9 meses'},2024-09-04,2024-09-04
12,"Mijão","Calça mijão em algodão","Vestuário","['algodão','confortável','respirável']",{'marca':'Gerber','tamanho':'3 meses'},2024-09-04,2024-09-04
13,"Mantas","Manta de algodão para bebês","Acessórios","['algodão','confortável','térmico']",{'marca':'Chicco','tamanho':'90x90cm'},2024-09-04,2024-09-04
14,"Babadores","Babador impermeável para bebês","Alimentação","['impermeável','ajustável','0-12 meses']",{'marca':'Skip Hop','material':'silicone'},2024-09-04,2024-09-04
15,"Carrinho de bebê","Carrinho de bebê dobrável e leve","Transporte","['dobrável','leve','compacto']",{'marca':'Graco','peso_suportado':'15kg'},2024-09-04,2024-09-04
16,"Berço portátil","Berço portátil com mosquiteiro","Dormitório","['portátil','mosquiteiro','dobrável']",{'marca':'Safety 1st','material':'poliéster'},2024-09-04,2024-09-04
17,"Cadeirinha de carro","Cadeirinha de carro com ISOFIX","Segurança","['ISOFIX','segurança','0-18kg']",{'marca':'Maxi-Cosi','tamanho':'0-18kg'},2024-09-04,2024-09-04
18,"Mochila maternidade","Mochila maternidade multifuncional","Acessórios","['multifuncional','resistente','impermeável']",{'marca':'Skip Hop','material':'poliéster'},2024-09-04,2024-09-04
19,"Termômetro digital","Termômetro digital para bebês","Saúde","['digital','preciso','rápido']",{'marca':'Braun','tempo_leitura':'2s'},2024-09-04,2024-09-04
20,"Escova de cabelo","Escova de cabelo macia para bebês","Higiene","['macia','cerdas naturais','0-12 meses']",{'marca':'Philips Avent','material':'cerdas naturais'},2024-09-04,2024-09-04
21,"Banheira dobrável","Banheira dobrável para bebês","Banho","['dobrável','compacto','seguro']",{'marca':'Stokke','material':'plástico resistente'},2024-09-04,2024-09-04
22,"Almofada de amamentação","Almofada de amamentação ergonômica","Alimentação","['ergonômica','confortável','suporte']",{'marca':'Boppy','material':'algodão'},2024-09-04,2024-09-04
23,"Porta leite em pó","Porta leite em pó com divisórias","Alimentação","['divisórias','portátil','fácil limpeza']",{'marca':'Tommee Tippee','material':'plástico'},2024-09-04,2024-09-04
24,"Kit escova e pente","Kit escova e pente para bebês","Higiene","['macia','cabelo fino','delicado']",{'marca':'Chicco','material':'plástico e cerdas naturais'},2024-09-04,2024-09-04
25,"Colher de silicone","Colher de silicone para bebês","Alimentação","['silicone','flexível','seguro']",{'marca':'Nuby','material':'silicone'},2024-09-04,2024-09-04
26,"Travesseiro antissufocante","Travesseiro antissufocante para bebês","Dormitório","['seguro','respirável','antissufocante']",{'marca':'Baby Pil','material':'espuma ventilada'},2024-09-04,2024-09-04
27,"Babá eletrônica","Babá eletrônica com câmera","Segurança","['câmera','áudio bidirecional','noturna']",{'marca':'Motorola','alcance':'300m'},2024-09-04,2024-09-04
28,"Trocador portátil","Trocador portátil impermeável","Higiene","['portátil','impermeável','almofadado']",{'marca':'Skip Hop','material':'poliéster'},2024-09-04,2024-09-04
29,"Mordedor","Mordedor de silicone para dentição","Acessórios","['silicone','dentição','macio']",{'marca':'Sophie la Girafe','material':'silicone'},2024-09-04,2024-09-04
30,"Tapete de atividades","Tapete de atividades com arco","Brinquedos","['interativo','macio','colorido']",{'marca':'Fisher-Price','material':'poliéster'},2024-09-04,2024-09-04
31,"Canguru","Canguru ergonômico para bebês","Transporte","['ergonômico','ajustável','seguro']",{'marca':'Ergobaby','peso_suportado':'20kg'},2024-09-04,2024-09-04
32,"Cadeirinha de refeição","Cadeirinha de refeição dobrável","Alimentação","['dobrável','ajustável','segura']",{'marca':'Peg Perego','material':'plástico'},2024-09-04,2024-09-04
33,"Lixeira de fraldas","Lixeira de fraldas com pedal","Higiene","['pedal','anti-odor','compacta']",{'marca':'Tommee Tippee','capacidade':'30 fraldas'},2024-09-04,2024-09-04
34,"Protetor solar para carrinho","Protetor solar ajustável para carrinho","Acessórios","['ajustável','UV50+','fácil instalação']",{'marca':'Jolly Jumper','material':'poliéster'},2024-09-04,2024-09-04
35,"Kit manicure","Kit de manicure para bebês","Higiene","['seguro','delicado','cortes precisos']",{'marca':'Safety 1st','material':'aço inox'},2024-09-04,2024-09-04
