embedding_vector,created_at,updated_at
"-0.036848483877358174,-0.3428673072743611,0.05621347893855999,0.584991919630983,0.4138686206597333,-0.9269561851411225,0.13839371959012814,0.24607490105911833,0.15296476607180765,0.8019050972193225",2024-09-04T18:02:11.410140,2024-09-04T18:02:11.410155
"-0.1095355449349773,0.7262273477804431,-0.959584535576451,-0.7662817327619618,-0.23623673252147692,0.9556986957760241,0.9004062967549351,0.9477968853817687,-0.6324973281491153,0.8504867160610139",2024-09-04T18:02:11.410170,2024-09-04T18:02:11.410175
"-0.8123720939161458,-0.611452566203966,0.5544915537433286,0.36738517254149694,0.0643356488142266,-0.35868799494858394,0.2120875501221937,-0.6629388140771302,0.16660232966149446,-0.7704414515970517",2024-09-04T18:02:11.410186,2024-09-04T18:02:11.410189
"0.33787393563350965,-0.14105842053997697,0.33223283274396853,0.9973729476004176,-0.63178607456455,0.09227255185046834,0.31587425280191117,-0.47837320175842235,-0.44971686982171644,-0.6334950085666329",2024-09-04T18:02:11.410201,2024-09-04T18:02:11.410204
"0.9634764127727862,-0.39388681910897416,0.76384561426173,-0.31185132367879587,0.5116751933362615,0.6917139323404098,-0.17618323787487444,-0.8617785049295932,0.7455999585430106,0.7552847622867107",2024-09-04T18:02:11.410215,2024-09-04T18:02:11.410223
"0.14073266488559244,-0.7406411730843847,0.43194406309166355,0.6436530847743391,-0.8826233836023367,-0.7946388334456447,0.4609784465789102,0.47519109239390134,-0.6256488732563557,-0.8292806521803535",2024-09-04T18:02:11.410235,2024-09-04T18:02:11.410238
"0.5351480907894937,0.3354395922424753,-0.5898808170330991,-0.6250145143579791,-0.9730735169250462,0.3918212828991954,0.37642905423995954,-0.5000534329187036,0.819860568722395,0.913472122887224",2024-09-04T18:02:11.410249,2024-09-04T18:02:11.410253
"0.45603485484346873,0.5531026838835393,-0.6935070765802716,-0.123175072148902,0.1041252987449468,-0.9090770132105168,0.4318873002195138,-0.1551455609295871,0.45357204042210175,0.17452962979041686",2024-09-04T18:02:11.410266,2024-09-04T18:02:11.410270
"0.9435133460554905,0.23900543122493811,-0.7184802830977652,0.029962255016694916,0.640478196183798,-0.8770662429227625,-0.687701912708873,0.04334945371675514,0.7743550643441397,-0.9308935885778573",2024-09-04T18:02:11.410282,2024-09-04T18:02:11.410285
"0.8733232225121002,0.18942655469386316,-0.19419630556947842,0.524937682779439,0.6528511398216479,0.781911137880039,-0.4149917574664137,0.5116366856843253,-0.6204762350267539,0.4367431310758154",2024-09-04T18:02:11.410297,2024-09-04T18:02:11.410300
"0.36223209520266453,0.9952942992593343,-0.014729466747799735,-0.8491228731053926,0.9409333246038813,0.9621445944049625,-0.1053545795479165,0.910553445086876,0.9142055280494068,0.15115735236563999",2024-09-04T18:02:11.410312,2024-09-04T18:02:11.410315
"-0.012633571615183747,-0.9160973304052391,-0.840214148408376,-0.5804287604162708,-0.039669387345711904,-0.3960667093751229,0.24949999323168082,-0.3218408501036354,-0.5176354467023201,0.43828437522105834",2024-09-04T18:02:11.410326,2024-09-04T18:02:11.410329
"-0.6053011227249909,0.42987334771862096,0.9973248951957563,0.09506913511994997,-0.3484335896251507,-0.8191128885839458,0.6291162508299433,-0.22405904556606204,-0.7323327211463464,0.4078066432705727",2024-09-04T18:02:11.410344,2024-09-04T18:02:11.410348
"-0.9305523329761176,0.7039648116257102,0.05003856421986663,-0.684136356130483,0.22077955185971665,-0.3082087380777627,0.054781722459376736,-0.43186198101580353,-0.8250714944468776,0.9888535337532953",2024-09-04T18:02:11.410359,2024-09-04T18:02:11.410362
"0.8138163489980685,0.043839698054648935,-0.1090250445787515,-0.8108702359588917,-0.727487710518318,0.598426226304799,0.6551385589641519,0.9976013182704098,-0.04773522038143785,0.74887582447442",2024-09-04T18:02:11.410373,2024-09-04T18:02:11.410376
"-0.07675813838062262,-0.00935260074610067,0.8064150877727656,0.646016118165992,0.9872640092598715,-0.41868652269771056,0.6696039787955061,0.05843907520649361,-0.32951003157735537,-0.6538983670521346",2024-09-04T18:02:11.410387,2024-09-04T18:02:11.410390
"0.2465766914621157,-0.7391394290592963,-0.2010996296722607,-0.5411463904363227,-0.3436372771887368,0.7098568249383022,-0.3723587819910428,-0.8855386995392502,-0.29489608076454354,-0.02831723033595379",2024-09-04T18:02:11.410401,2024-09-04T18:02:11.410404
"-0.04223793691722477,0.34504111324699727,-0.4497764603578369,-0.19010252095019675,0.7717959968386849,0.7214435511377368,-0.6301549645922262,-0.6539797102694345,0.3954817711886509,-0.4614635448508009",2024-09-04T18:02:11.410416,2024-09-04T18:02:11.410419
